,Posizione,Interprete,Canzone,Anno,Autori,Posizione_numerica,Stato,Artista_spotify,Popolarità,Anno_ultimo_rilascio,Presentatore,Sede,Partecipanti,,,
0,1º,Nilla Pizzi,Grazie dei fiori,1951,Gian Carlo Testoni e Mario Panzeri,1,Vincitore,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
1,2º,Nilla Pizzi e Achille Togliani,La luna si veste d'argento,1951,Biri,2,Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
2,3º,Achille Togliani,Serenata a nessuno,1951,Walter Colì,3,Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
3,F,Achille Togliani e Duo Fasano,Al mercato di Pizzighettone,1951,Aldo Locatelli,,Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
4,F,Nilla Pizzi e Achille Togliani,Eco tra gli abeti,1951,Enzo Bonagura,,Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
5,F,Achille Togliani e Duo Fasano,Famme durmì,1951,Danpa,,Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
6,F,Duo Fasano,La cicogna distratta,1951,Aldo Valleroni e Da Rovere,,Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
7,F,Nilla Pizzi e Duo Fasano,La margherita,1951,Ester B. Valdes,,Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
8,F,Achille Togliani,Sedici anni,1951,Astro Mari,,Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,Check 1 — righe senza match Spotify,94
9,F,Duo Fasano,Sotto il mandorlo,1951,Gian Carlo Testoni e Mario Panzeri,,Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,Check 2 — righe senza match Festival,0
10,NF,Nilla Pizzi,È l'alba,1951,Gian Carlo Testoni,,Non Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
11,NF,Nilla Pizzi,Ho pianto una volta sola,1951,Pinchi,,Non Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
12,NF,Achille Togliani,Mai più,1951,Filippo Rolando,,Non Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
13,NF,Achille Togliani,Mani che si cercano,1951,Giovanna Colombi,,Non Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
14,NF,Nilla Pizzi,Mia cara Napoli,1951,Salvatore Mazzocco,,Non Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
15,NF,Nilla Pizzi,Notte di Sanremo,1951,Enzo Luigi Poletto,,Non Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
16,NF,Duo Fasano,Oro di Napoli,1951,Umberto Bertini,,Non Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
17,NF,Achille Togliani e Duo Fasano,Sei fatta per me,1951,Guido Quattrini,,Non Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
18,NF,Duo Fasano,Sorrentinella,1951,Arrigo Giacomo Camosso,,Non Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
19,NF,Nilla Pizzi,Tutto è finito,1951,Otello Odorici,,Non Finalista,,,,Nunzio Filogamo,Casinò di Sanremo,3,,,
20,1º,Nilla Pizzi,Vola Colomba,1952,B. Cherubini e C. Concina,1,Vincitore,,,,Nunzio Filogamo,Casinò di Sanremo,5,,,
21,2º,Nilla Pizzi,Papaveri e papere,1952,"N. Rastelli, M. Panzeri e V. Mascheroni",2,Finalista,Nilla Pizzi,33,2014,Nunzio Filogamo,Casinò di Sanremo,5,,,
22,3º,Nilla Pizzi,Una donna prega,1952,Pinchi e V. Panzuti,3,Finalista,Nilla Pizzi,1,2021,Nunzio Filogamo,Casinò di Sanremo,5,,,
23,4º,Oscar Carboni,Madonna delle rose,1952,G. Fiorelli e M. Ruccione,4,Finalista,Claudio Villa,13,1959,Nunzio Filogamo,Casinò di Sanremo,5,,,
24,5º,Gino Latilla,Un disco dall'Italia,1952,N. Salerno e G. D'Anzi,5,Finalista,Gino Bechi,0,1970,Nunzio Filogamo,Casinò di Sanremo,5,,,
25,6º,Gino Latilla,L'attesa,1952,Biri e N. Ravasini,6,Finalista,Daniela Picciau,18,2022,Nunzio Filogamo,Casinò di Sanremo,5,,,
26,7º,Oscar Carboni,Perché le donne belle,1952,A. Sopranzi e G. Fassino,7,Finalista,Paolo Bellasio,0,2023,Nunzio Filogamo,Casinò di Sanremo,5,,,
27,8º,Achille Togliani,Vecchie mura,1952,Filibello e P. E. Bassi,8,Finalista,Achille Togliani,0,2012,Nunzio Filogamo,Casinò di Sanremo,5,,,
28,9º,Achille Togliani,Libro di novelle,1952,L. Citi e M. Casini,9,Finalista,Achille Togliani,0,2012,Nunzio Filogamo,Casinò di Sanremo,5,,,
29,10º,Nilla Pizzi e Achille Togliani,Nel regno dei sogni,1952,A. Papetti e C. A. Rossi,10,Finalista,Nilla Pizzi,5,2006,Nunzio Filogamo,Casinò di Sanremo,5,,,
30,NF,Duo Fasano,Al ritmo della carrozzella,1952,E. L. Poletto e P. Pavesio,,Non Finalista,Duo Fasano,0,2011,Nunzio Filogamo,Casinò di Sanremo,5,,,
31,NF,Nilla Pizzi e Duo Fasano,Buonanotte (Ai bimbi del mondo),1952,E. Minoretti e A. Zara,,Non Finalista,Nilla Pizzi,0,1940,Nunzio Filogamo,Casinò di Sanremo,5,,,
32,NF,Oscar Carboni,Cantate e sorridete,1952,"G. C. Testoni, F. Fabor e C. Donida",,Non Finalista,Oscar Carboni,0,2022,Nunzio Filogamo,Casinò di Sanremo,5,,,
33,NF,Duo Fasano,Due gattini,1952,"T. Giacobetti, G. Kramer e Trinacria",,Non Finalista,Duo Fasano,1,2012,Nunzio Filogamo,Casinò di Sanremo,5,,,
34,NF,Nilla Pizzi e Duo Fasano,Il valzer di Nonna Speranza,1952,G. C. Testoni e S. Seracini,,Non Finalista,Nilla Pizzi,0,2011,Nunzio Filogamo,Casinò di Sanremo,5,,,
35,NF,Achille Togliani,La collanina,1952,G. C. Testoni e D. Olivieri,,Non Finalista,Lucio Battisti,58,1973,Nunzio Filogamo,Casinò di Sanremo,5,,,
